า, 6.997057
น, 5.977070
ร, 4.759220
่, 4.756852
อ, 4.364051
ก, 4.326836
ง, 3.970353
้, 3.843010
เ, 3.775483
ม, 3.599639
ั, 3.210760
ย, 2.879692
ว, 2.749317
ี, 2.633387
ล, 2.292428
ด, 2.271767
ท, 2.174031
ห, 2.030245
ต, 1.947497
ะ, 1.926238
ิ, 1.884974
ค, 1.827096
ส, 1.824536
บ, 1.764665
ป, 1.665930
จ, 1.555398
แ, 1.475490
ไ, 1.426699
ข, 1.213475
ใ, 1.188077
พ, 1.136175
ื, 1.110146
็, 0.983072
ช, 0.922102
ู, 0.920204
ุ, 0.874058
ำ, 0.761604
ึ, 0.574013
์, 0.560495
ผ, 0.490059
โ, 0.487213
ถ, 0.444281
ณ, 0.364466
ศ, 0.339256
ธ, 0.317515
ญ, 0.296907
ษ, 0.266157
ภ, 0.253640
ซ, 0.240641
ๆ, 0.196641
., 0.154164
ฉ, 0.143833
ฐ, 0.115354
e, 0.112288
ฟ, 0.109949
a, 0.087486
i, 0.086186
o, 0.079751
n, 0.078419
t, 0.074938
ฝ, 0.073526
r, 0.069837
s, 0.055740
l, 0.047739
ฏ, 0.045356
ฎ, 0.044381
ฤ, 0.042343
ฒ, 0.040604
c, 0.037733
๊, 0.037298
ฮ, 0.035224
ฯ, 0.032374
u, 0.031120
d, 0.029817
m, 0.028353
h, 0.026343
๋, 0.025223
p, 0.021513
T, 0.021093
g, 0.019565
y, 0.017946
ฑ, 0.016814
A, 0.016635
S, 0.015897
C, 0.015255
‘, 0.014962
ฆ, 0.014850
f, 0.014141
P, 0.012232
O, 0.012038
I, 0.011272
v, 0.011045
b, 0.011027
E, 0.010842
M, 0.010539
D, 0.009284
R, 0.008868
ฬ, 0.008539
B, 0.008492
k, 0.008162
L, 0.007816
w, 0.007520
N, 0.007511
F, 0.006803
G, 0.006387
H, 0.005742
_, 0.005353
x, 0.004712
-, 0.004187
W, 0.004071
^, 0.004067
U, 0.003406
V, 0.003158
K, 0.002933
z, 0.002787
Y, 0.002174
J, 0.002163
j, 0.001546
ฌ, 0.001540
q, 0.001332
1, 0.001180
2, 0.001019
X, 0.000930
=, 0.000868
Q, 0.000775
Z, 0.000688
3, 0.000415
–, 0.000362
ฃ, 0.000326
0, 0.000249
4, 0.000214
7, 0.000203
6, 0.000203
•, 0.000186
5, 0.000185
ฅ, 0.000152
ๅ, 0.000131
!, 0.000108
+, 0.000064
9, 0.000061
8, 0.000050
|, 0.000037
’, 0.000022
ฦ, 0.000017
@, 0.000009
 , 0.000009
#, 0.000008
`, 0.000008
$, 0.000007
,, 0.000001
ฺ, 0.000001
๘, 0.000001
ํ, 0.000001
๙, 0.000001
